link,pred,prey,log10_ppmr
0,4.38694702966577e-4,3.15859852948221e-4,0.1426679616880783
0,9.37626231878135e-4,2.86475886097282e-4,0.5149416776439398
0,0.00108406181070686,2.86475886097282e-4,0.577965973964492
0,5.54809414019099e-4,2.86475886097282e-4,0.28705575016805007
0,2.92448753412681e-4,2.86475886097282e-4,0.008961703072030022
0,0.0012576630375615,2.86475886097282e-4,0.6424762258708702
0,2.68296997513154e-4,2.86475886097282e-4,-0.028472258864816323
0,4.10674478417191e-5,2.86475886097282e-4,-0.8435903571828046
0,9.07021016621533e-5,2.86475886097282e-4,-0.49947072118252717
0,1.82976232747384e-5,2.86475886097282e-4,-1.194693389645989
0,3.30990442167077e-5,2.86475886097282e-4,-0.9372726183459495
0,6.27269705674256e-5,2.86475886097282e-4,-0.6596337578549846
0,4.27507367434747e-4,2.86475886097282e-4,0.17385553211432067
0,4.65423110224946e-4,2.86475886097282e-4,0.21075987262843873
0,4.38694702966577e-4,2.86475886097282e-4,0.18507431911915978
0,2.63910552318931e-4,2.86475886097282e-4,-0.03563131582034622
0,4.13797741074828e-5,2.86475886097282e-4,-0.8402999558954899
0,1.1374216147146,2.86475886097282e-4,3.5988334055893345
0,7.57683915187514e-5,2.86475886097282e-4,-0.5776000036708826
0,2.86475886097282e-4,2.86475886097282e-4,0
0,1.08898282658436e-4,2.86475886097282e-4,-0.4200670404912335
0,5.64165292727672e-4,2.86475886097282e-4,0.29431829356584005
0,3.15859852948221e-4,2.86475886097282e-4,0.04240635743108151
0,1.42462759417532e-4,2.86475886097282e-4,-0.30338671930302763
0,2.00984697887424e-4,2.86475886097282e-4,-0.1539250780540018
0,0.00889345949807735,2.86475886097282e-4,1.4919826601593333
0,2.92448753412681e-4,0.00108406181070686,-0.569004270892462
0,7.57683915187514e-5,0.00108406181070686,-1.1555659776353746
0,1.1374216147146,0.00108406181070686,3.0208674316248425
0,4.27507367434747e-4,0.00108406181070686,-0.4041104418501713
0,0.0012576630375615,0.00108406181070686,0.0645102519063782
0,2.86475886097282e-4,0.00108406181070686,-0.577965973964492
0,4.38694702966577e-4,0.00108406181070686,-0.39289165484533223
0,4.13797741074828e-5,0.00108406181070686,-1.4182659298599818
0,4.10674478417191e-5,0.00108406181070686,-1.4215563311472965
0,2.63910552318931e-4,0.00108406181070686,-0.6135972897848383
0,9.07021016621533e-5,0.00108406181070686,-1.0774366951470191
0,9.37626231878135e-4,0.00108406181070686,-0.06302429632055213
0,0.00889345949807735,0.00108406181070686,0.9140166861948414
0,5.64165292727672e-4,0.00108406181070686,-0.28364768039865196
0,3.15859852948221e-4,0.00108406181070686,-0.5355596165334106
0,1.82976232747384e-5,0.00108406181070686,-1.772659363610481
0,1.42462759417532e-4,0.00108406181070686,-0.8813526932675196
0,6.27269705674256e-5,0.00108406181070686,-1.2375997318194765
0,5.54809414019099e-4,0.00108406181070686,-0.290910223796442
0,1.08898282658436e-4,0.00108406181070686,-0.9980330144557255
0,2.00984697887424e-4,0.00108406181070686,-0.7318910520184938
0,0.00108406181070686,0.00108406181070686,0
0,2.68296997513154e-4,0.00108406181070686,-0.6064382328293083
0,3.30990442167077e-5,0.00108406181070686,-1.5152385923104414
0,4.65423110224946e-4,0.00108406181070686,-0.3672061013360533
0,4.27507367434747e-4,3.30990442167077e-5,1.1111281504602701
1,1.1374216147146,3.30990442167077e-5,4.536106023935284
0,1.42462759417532e-4,3.30990442167077e-5,0.6338858990429219
0,4.38694702966577e-4,3.30990442167077e-5,1.1223469374651094
0,1.08898282658436e-4,3.30990442167077e-5,0.5172055778547161
0,4.10674478417191e-5,3.30990442167077e-5,0.09368226116314499
0,2.00984697887424e-4,3.30990442167077e-5,0.7833475402919478
0,3.30990442167077e-5,3.30990442167077e-5,0
0,4.13797741074828e-5,3.30990442167077e-5,0.09697266245045973
0,0.0012576630375615,3.30990442167077e-5,1.5797488442168197
0,9.07021016621533e-5,3.30990442167077e-5,0.4378018971634224
0,9.37626231878135e-4,3.30990442167077e-5,1.4522142959898894
0,5.54809414019099e-4,3.30990442167077e-5,1.2243283685139996
0,2.92448753412681e-4,3.30990442167077e-5,0.9462343214179796
0,0.00889345949807735,3.30990442167077e-5,2.4292552785052828
0,2.68296997513154e-4,3.30990442167077e-5,0.9088003594811332
0,6.27269705674256e-5,3.30990442167077e-5,0.277638860490965
0,0.00108406181070686,3.30990442167077e-5,1.5152385923104414
0,4.65423110224946e-4,3.30990442167077e-5,1.1480324909743882
0,2.63910552318931e-4,3.30990442167077e-5,0.9016413025256033
0,5.64165292727672e-4,3.30990442167077e-5,1.2315909119117896
0,3.15859852948221e-4,3.30990442167077e-5,0.979678975777031
0,7.57683915187514e-5,3.30990442167077e-5,0.359672614675067
0,2.86475886097282e-4,3.30990442167077e-5,0.9372726183459495
0,1.82976232747384e-5,3.30990442167077e-5,-0.25742077130003954
